data_year,state_fips,state_name,geo_fips,geo_name,financial_services_insurance,food_at_home,food_away_from_home,food_services_accommodations,goods_durable,goods_nondurable,goods_total,health_care,housing,recreation_services,services_total,total_pce,transportation_services,data_source,data_collection_date,data_period,seasonally_adjusted,population,financial_services_insurance_per_capita,food_at_home_per_capita,food_away_from_home_per_capita,food_services_accommodations_per_capita,goods_durable_per_capita,goods_nondurable_per_capita,goods_total_per_capita,health_care_per_capita,housing_per_capita,recreation_services_per_capita,services_total_per_capita,total_pce_per_capita,transportation_services_per_capita,total_pce_growth_rate,goods_growth_rate,services_growth_rate,retail_relevant_spending,restaurant_relevant_spending,data_quality_score
2015,55,Wisconsin,55000,Wisconsin,,,,,23770.0,9321.7,69976.9,,,,5171.0,212242.0,,BEA,2025-06-30 13:56:30.545131,annual,True,5757564,,,,,4128.482115005582,1619.0354115038929,12153.907451137322,,,,898.1228866930528,36863.15948897832,,,,,69976.9,,95.0
2016,55,Wisconsin,55000,Wisconsin,,,,,24871.9,9743.9,71514.6,,,,5453.4,218417.9,,BEA,2025-06-30 13:56:30.545131,annual,True,5778708,,,,,4304.05896958282,1686.172756955361,12375.534462028536,,,,943.7057556810277,37797.01275786906,,2.909838768952411,2.1974394407297426,5.461226068458713,71514.6,,95.0
2017,55,Wisconsin,55000,Wisconsin,,,,,26070.6,10438.4,74622.5,,,,5574.8,227938.3,,BEA,2025-06-30 13:56:30.545131,annual,True,5795483,,,,,4498.434384157455,1801.1268430948724,12875.975997168829,,,,961.9215516635974,39330.33709183514,,4.358800263165241,4.3458258873013245,2.2261341548391878,74622.5,,95.0
2018,55,Wisconsin,55000,Wisconsin,,,,,27475.4,10897.5,78426.6,,,,5896.3,236881.7,,BEA,2025-06-30 13:56:30.545131,annual,True,5813568,,,,,4726.082158151414,1874.49428646917,13490.26965883946,,,,1014.2308475621168,40746.35404625868,,3.9236056424041266,5.097792220844921,5.767023032216412,78426.6,,95.0
2019,55,Wisconsin,55000,Wisconsin,,,,,27828.6,10915.8,79811.8,,,,5955.2,244056.1,,BEA,2025-06-30 13:56:30.545131,annual,True,5822434,,,,,4779.547522565305,1874.7829515972187,13707.63498564346,,,,1022.802491191828,41916.50776977463,,3.028684782319613,1.7662374755503807,0.9989315333344573,79811.8,,95.0
2020,55,Wisconsin,55000,Wisconsin,1593.2,3975.8,1797.5,4289.3,29953.2,11119.0,82432.8,286.8,1251.5,22.9,6542.4,238790.5,16718.6,BEA,2025-06-30 13:56:30.545131,annual,True,5893718,270.32172221338044,674.582665814686,304.98574923333626,727.7748952359105,5082.22483668204,1886.5850045760587,13986.55314014006,48.66198213080436,212.3447372269932,3.8854929944052294,1110.063291117763,40516.1054532979,2836.681361408876,-2.1575367302845594,3.2839755524872283,9.860290166577101,82432.8,4289.3,95.0
2021,55,Wisconsin,55000,Wisconsin,2032.0,5422.4,2194.3,5476.1,35493.3,13559.0,94977.5,334.5,1477.5,25.5,7587.0,268655.5,17635.0,BEA,2025-06-30 13:56:30.545131,annual,True,5895908,344.64581197671333,919.688706133135,372.1733785533967,928.7967179949212,6019.988778658012,2299.7305928111496,16109.053940461758,56.73426383179656,250.59753306869783,4.325033565652653,1286.8246926512422,45566.43353322338,2991.0575266778246,12.506778954774166,15.218092798012428,15.966617754952317,94977.5,5476.1,95.0
2022,55,Wisconsin,55000,Wisconsin,2142.3,5175.7,2440.4,5770.0,36920.8,13780.7,104196.0,354.8,1553.4,25.0,7939.8,294114.1,19759.0,BEA,2025-06-30 13:56:30.545131,annual,True,5892539,363.56144609310184,878.3480262073786,414.1508439740492,979.2043803189084,6265.686149892262,2338.669290097189,17682.70010601542,60.21173555236546,263.62150509313557,4.242653294276033,1347.4327450357139,49912.966210321225,3353.2234576640053,9.476299573245273,9.70598299597274,4.650059311981014,104196.0,5770.0,95.0
2023,55,Wisconsin,55000,Wisconsin,2217.3,5167.2,2554.1,5983.2,38583.5,14713.8,107088.0,371.1,1542.1,24.6,8056.6,310876.1,20243.3,BEA,2025-06-30 13:56:30.545131,annual,True,5910955,375.1170496138103,874.1734626638166,432.09599802400794,1012.2222212823477,6527.456223232964,2489.242432060471,18116.869439879003,62.781733239383485,260.88846895298644,4.161764046588073,1362.9946429976205,52593.21040339505,3424.708866841314,5.699148731733694,2.775538408384204,1.4710698002468492,107088.0,5983.2,95.0
